=== cf top-up Wed Jun 10 16:52:10 EDT 2026 ===
Streaming OwensLab/CommunityForensics-Small (split=train)...
Resuming — 8624 images from 227 generators already on disk.

CommunityForensics: 0img [00:00, ?img/s]
CommunityForensics: 1img [00:36, 36.66s/img]
CommunityForensics: 2img [00:37, 15.42s/img]
CommunityForensics: 4img [00:37,  5.80s/img]
CommunityForensics: 12419img [11:33, 127.22img/s]
CommunityForensics: 12439img [11:33, 142.72img/s]
CommunityForensics: 12460img [11:33, 156.15img/s]
CommunityForensics: 12483img [11:33, 170.01img/s]
CommunityForensics: 12503img [11:33, 175.80img/s]
CommunityForensics: 12523img [11:33, 172.38img/s]
CommunityForensics: 12542img [11:33, 176.75img/s]
CommunityForensics: 12561img [11:33, 176.92img/s]
CommunityForensics: 12580img [11:34, 180.40img/s]
CommunityForensics: 12599img [11:34, 173.36img/s]
CommunityForensics: 12617img [11:34, 173.66img/s]
CommunityForensics: 12636img [11:34, 177.61img/s]
CommunityForensics: 12654img [11:34, 167.36img/s]
CommunityForensics: 12673img [11:34, 169.83img/s]
CommunityForensics: 12693img [11:34, 177.74img/s]
CommunityForensics: 12711img [11:34, 172.55img/s]
CommunityForensics: 12729img [11:34, 164.50img/s]
CommunityForensics: 12750img [11:35, 167.17img/s]
CommunityForensics: 12770img [11:35, 174.20img/s]
CommunityForensics: 12788img [11:35, 170.62img/s]
CommunityForensics: 12806img [11:35, 161.70img/s]
CommunityForensics: 12823img [11:35, 155.99img/s]
CommunityForensics: 12841img [11:35, 161.06img/s]
CommunityForensics: 12858img [11:35, 159.55img/s]
CommunityForensics: 12875img [11:35, 157.42img/s]
CommunityForensics: 12893img [11:35, 162.17img/s]
CommunityForensics: 12911img [11:36, 164.89img/s]
CommunityForensics: 12928img [11:36, 157.26img/s]
CommunityForensics: 12944img [11:36, 154.37img/s]
CommunityForensics: 12960img [11:36, 149.23img/s]
CommunityForensics: 12982img [11:36, 166.11img/s]
CommunityForensics: 12999img [11:36, 155.31img/s]
CommunityForensics: 13022img [11:36, 175.17img/s]
CommunityForensics: 13040img [11:36, 170.99img/s]
CommunityForensics: 13058img [11:36, 170.00img/s]
CommunityForensics: 13076img [11:37, 170.52img/s]
CommunityForensics: 13094img [11:37, 169.62img/s]
CommunityForensics: 13117img [11:37, 185.46img/s]
CommunityForensics: 13136img [11:37, 180.52img/s]
CommunityForensics: 13155img [11:37, 177.15img/s]
CommunityForensics: 13173img [11:37, 174.98img/s]
CommunityForensics: 13197img [11:37, 192.62img/s]
CommunityForensics: 13217img [11:37, 169.70img/s]
CommunityForensics: 13235img [11:37, 168.69img/s]
CommunityForensics: 13257img [11:38, 180.08img/s]
CommunityForensics: 13276img [11:38, 126.18img/s]
CommunityForensics: 13292img [11:38, 130.33img/s]
CommunityForensics: 13313img [11:38, 147.75img/s]
CommunityForensics: 13330img [11:38, 146.30img/s]
CommunityForensics: 13350img [11:38, 157.22img/s]
CommunityForensics: 13367img [11:38, 158.48img/s]
CommunityForensics: 13384img [11:38, 154.66img/s]
CommunityForensics: 13400img [11:39, 149.50img/s]
CommunityForensics: 13416img [11:39, 150.93img/s]
CommunityForensics: 13436img [11:39, 163.90img/s]
CommunityForensics: 13453img [11:39, 154.99img/s]
CommunityForensics: 13473img [11:39, 163.27img/s]
CommunityForensics: 13493img [11:39, 172.33img/s]
CommunityForensics: 13511img [11:39, 167.82img/s]
CommunityForensics: 13528img [11:39, 147.76img/s]
CommunityForensics: 13548img [11:40, 159.31img/s]
CommunityForensics: 13565img [11:40, 159.34img/s]
CommunityForensics: 13587img [11:40, 175.18img/s]
CommunityForensics: 13605img [11:40, 167.78img/s]
CommunityForensics: 13623img [11:40, 167.68img/s]
CommunityForensics: 13643img [11:40, 175.91img/s]
CommunityForensics: 13661img [11:40, 140.06img/s]
CommunityForensics: 13678img [11:40, 146.22img/s]
CommunityForensics: 13694img [11:40, 147.16img/s]
CommunityForensics: 13710img [11:41, 147.51img/s]
CommunityForensics: 13729img [11:41, 158.69img/s]
CommunityForensics: 13746img [11:41, 155.84img/s]
CommunityForensics: 13762img [11:41, 151.36img/s]
CommunityForensics: 13782img [11:41, 164.11img/s]
CommunityForensics: 13799img [11:41, 141.52img/s]
CommunityForensics: 13817img [11:41, 148.23img/s]
CommunityForensics: 13834img [11:41, 153.95img/s]
CommunityForensics: 13850img [11:42, 136.05img/s]
CommunityForensics: 13865img [11:42, 136.43img/s]
CommunityForensics: 13881img [11:42, 142.38img/s]
CommunityForensics: 13900img [11:42, 154.58img/s]
CommunityForensics: 13917img [11:42, 155.11img/s]
CommunityForensics: 13936img [11:42, 161.94img/s]
CommunityForensics: 13954img [11:42, 166.78img/s]
CommunityForensics: 13971img [11:42, 167.32img/s]
CommunityForensics: 13988img [11:42, 148.95img/s]
CommunityForensics: 14006img [11:42, 154.73img/s]
CommunityForensics: 14022img [11:43, 155.69img/s]
CommunityForensics: 14042img [11:43, 168.00img/s]
CommunityForensics: 14060img [11:43, 161.02img/s]
CommunityForensics: 14077img [11:43, 148.93img/s]
CommunityForensics: 14093img [11:43, 145.28img/s]
CommunityForensics: 14112img [11:43, 155.05img/s]
CommunityForensics: 14128img [11:43, 153.96img/s]
CommunityForensics: 14144img [11:43, 132.31img/s]
CommunityForensics: 14162img [11:44, 142.99img/s]
CommunityForensics: 14178img [11:44, 146.55img/s]
CommunityForensics: 14194img [11:44, 132.43img/s]
CommunityForensics: 14219img [11:44, 161.64img/s]
CommunityForensics: 14237img [11:44, 165.58img/s]
CommunityForensics: 14255img [11:44, 169.08img/s]
CommunityForensics: 14273img [11:44, 164.58img/s]
CommunityForensics: 14295img [11:44, 179.23img/s]
CommunityForensics: 14314img [11:44, 179.00img/s]
CommunityForensics: 14334img [11:45, 182.78img/s]
CommunityForensics: 14353img [11:45, 158.11img/s]
CommunityForensics: 14378img [11:45, 176.52img/s]
CommunityForensics: 14397img [11:45, 176.96img/s]
CommunityForensics: 14416img [11:45, 173.43img/s]
CommunityForensics: 14437img [11:45, 174.59img/s]
CommunityForensics: 14458img [11:45, 177.89img/s]
CommunityForensics: 14476img [11:45, 155.77img/s]
CommunityForensics: 14493img [11:46, 158.46img/s]
CommunityForensics: 14514img [11:46, 170.40img/s]
CommunityForensics: 14532img [11:46, 170.36img/s]
CommunityForensics: 14550img [11:46, 150.48img/s]
CommunityForensics: 14568img [11:46, 157.90img/s]
CommunityForensics: 14585img [11:46, 155.88img/s]
CommunityForensics: 14601img [11:46, 148.03img/s]
CommunityForensics: 14617img [11:46, 147.17img/s]
CommunityForensics: 14632img [11:46, 121.35img/s]
CommunityForensics: 14653img [11:47, 141.87img/s]
CommunityForensics: 14669img [11:47, 144.35img/s]
CommunityForensics: 14685img [11:47, 139.52img/s]
CommunityForensics: 14700img [11:47, 122.76img/s]
CommunityForensics: 14719img [11:47, 137.50img/s]
CommunityForensics: 14734img [11:47, 133.10img/s]
CommunityForensics: 14748img [11:47, 129.98img/s]
CommunityForensics: 14762img [11:47, 129.11img/s]
CommunityForensics: 14777img [11:48, 133.04img/s]
CommunityForensics: 14796img [11:48, 145.95img/s]
CommunityForensics: 14811img [11:48, 144.94img/s]
CommunityForensics: 14826img [11:48, 125.86img/s]
CommunityForensics: 14840img [11:48, 85.49img/s] 
CommunityForensics: 14852img [11:48, 91.84img/s]
CommunityForensics: 14871img [11:48, 112.42img/s]
CommunityForensics: 14889img [11:49, 126.08img/s]
CommunityForensics: 14908img [11:49, 141.82img/s]
CommunityForensics: 14924img [11:49, 142.39img/s]
CommunityForensics: 14945img [11:49, 156.99img/s]
CommunityForensics: 14962img [11:49, 158.92img/s]
CommunityForensics: 14963img [12:00, 158.92img/s]
CommunityForensics: 14964img [16:05,  5.90s/img] 
CommunityForensics: 14978img [16:05,  4.04s/img]
CommunityForensics: 14995img [16:05,  2.62s/img]
CommunityForensics: 15017img [16:05,  1.58s/img]
CommunityForensics: 15035img [16:05,  1.09s/img]
CommunityForensics: 15056img [16:05,  1.40img/s]
CommunityForensics: 15074img [16:06,  1.99img/s]
CommunityForensics: 15091img [16:06,  2.77img/s]
CommunityForensics: 15108img [16:06,  3.87img/s]
CommunityForensics: 15125img [16:06,  5.42img/s]
CommunityForensics: 15147img [16:06,  8.23img/s]
CommunityForensics: 15164img [16:06, 11.20img/s]
CommunityForensics: 15183img [16:06, 15.74img/s]
CommunityForensics: 15200img [16:06, 21.11img/s]
CommunityForensics: 15217img [16:07, 28.07img/s]
CommunityForensics: 15234img [16:07, 36.31img/s]
CommunityForensics: 15250img [16:07, 45.82img/s]
CommunityForensics: 15267img [16:07, 57.68img/s]
CommunityForensics: 15284img [16:07, 70.05img/s]
CommunityForensics: 15299img [16:07, 78.70img/s]
CommunityForensics: 15317img [16:07, 95.01img/s]
CommunityForensics: 15332img [16:07, 104.65img/s]
CommunityForensics: 15350img [16:07, 120.18img/s]
CommunityForensics: 15366img [16:08, 128.09img/s]
CommunityForensics: 15382img [16:08, 103.82img/s]
CommunityForensics: 15395img [16:08, 95.00img/s] 
CommunityForensics: 15412img [16:08, 110.32img/s]
CommunityForensics: 15427img [16:08, 119.23img/s]
CommunityForensics: 15444img [16:08, 131.47img/s]
CommunityForensics: 15461img [16:08, 138.84img/s]
CommunityForensics: 15478img [16:08, 146.71img/s]
CommunityForensics: 15501img [16:09, 167.09img/s]
CommunityForensics: 15519img [16:09, 152.65img/s]
CommunityForensics: 15538img [16:09, 160.73img/s]
CommunityForensics: 15558img [16:09, 159.64img/s]
CommunityForensics: 15575img [16:10, 48.97img/s] 
CommunityForensics: 15587img [16:11, 37.02img/s]
CommunityForensics: 15596img [16:11, 28.94img/s]
CommunityForensics: 15603img [16:11, 30.44img/s]
CommunityForensics: 15609img [16:12, 25.71img/s]
CommunityForensics: 15614img [16:12, 22.16img/s]
CommunityForensics: 15618img [16:12, 22.33img/s]
CommunityForensics: 15622img [16:12, 23.26img/s]
CommunityForensics: 15626img [16:13, 21.46img/s]
CommunityForensics: 15629img [16:13, 20.45img/s]
CommunityForensics: 15632img [16:13, 18.44img/s]
CommunityForensics: 15635img [16:13, 17.73img/s]
CommunityForensics: 15637img [16:13, 17.40img/s]
CommunityForensics: 15639img [16:13, 17.04img/s]
CommunityForensics: 15641img [16:14, 15.89img/s]
CommunityForensics: 15643img [16:14, 15.05img/s]
CommunityForensics: 15645img [16:14, 14.56img/s]
CommunityForensics: 15647img [16:14, 14.95img/s]
CommunityForensics: 15649img [16:14, 13.60img/s]
CommunityForensics: 15652img [16:14, 15.72img/s]
CommunityForensics: 15654img [16:14, 15.49img/s]
CommunityForensics: 15657img [16:15, 16.05img/s]
CommunityForensics: 15659img [16:15, 16.04img/s]
CommunityForensics: 15661img [16:15, 16.21img/s]
CommunityForensics: 15663img [16:15, 16.53img/s]
CommunityForensics: 15665img [16:15, 17.13img/s]
CommunityForensics: 15667img [16:15, 16.46img/s]
CommunityForensics: 15669img [16:15, 16.24img/s]
CommunityForensics: 15672img [16:16, 19.25img/s]
CommunityForensics: 15674img [16:16, 18.28img/s]
CommunityForensics: 15677img [16:16, 18.82img/s]
CommunityForensics: 15680img [16:16, 20.11img/s]
CommunityForensics: 15683img [16:16, 17.35img/s]
CommunityForensics: 15685img [16:16, 17.03img/s]
CommunityForensics: 15687img [16:16, 15.41img/s]
CommunityForensics: 15689img [16:17, 16.15img/s]
CommunityForensics: 15691img [16:17, 16.17img/s]
CommunityForensics: 15693img [16:17, 15.34img/s]
CommunityForensics: 15695img [16:17, 13.29img/s]
CommunityForensics: 15697img [16:17, 13.03img/s]
CommunityForensics: 15700img [16:17, 14.93img/s]
CommunityForensics: 15705img [16:17, 22.14img/s]
CommunityForensics: 15718img [16:18, 47.11img/s]
CommunityForensics: 15734img [16:18, 73.21img/s]
CommunityForensics: 15755img [16:18, 107.86img/s]
CommunityForensics: 15775img [16:18, 132.15img/s]
CommunityForensics: 15794img [16:18, 146.97img/s]
CommunityForensics: 15813img [16:18, 156.09img/s]
CommunityForensics: 15836img [16:18, 176.76img/s]
CommunityForensics: 15858img [16:18, 187.76img/s]
CommunityForensics: 15878img [16:18, 188.86img/s]
CommunityForensics: 15899img [16:18, 194.21img/s]
CommunityForensics: 15919img [16:19, 195.75img/s]
CommunityForensics: 15939img [16:19, 195.75img/s]
CommunityForensics: 15959img [16:19, 196.50img/s]
CommunityForensics: 15979img [16:19, 185.52img/s]
CommunityForensics: 15998img [16:19, 183.36img/s]
CommunityForensics: 16017img [16:19, 183.68img/s]
CommunityForensics: 16036img [16:19, 181.88img/s]
CommunityForensics: 16057img [16:19, 188.59img/s]
CommunityForensics: 16078img [16:19, 194.32img/s]
CommunityForensics: 16100img [16:20, 198.94img/s]
CommunityForensics: 16122img [16:20, 200.64img/s]
CommunityForensics: 16143img [16:20, 197.58img/s]
CommunityForensics: 16163img [16:20, 192.71img/s]
CommunityForensics: 16183img [16:20, 192.63img/s]
CommunityForensics: 16204img [16:20, 196.11img/s]
CommunityForensics: 16224img [16:20, 197.09img/s]
CommunityForensics: 16244img [16:20, 186.12img/s]
CommunityForensics: 16263img [16:20, 180.82img/s]
CommunityForensics: 16282img [16:20, 171.89img/s]
CommunityForensics: 16300img [16:21, 170.79img/s]
CommunityForensics: 16318img [16:21, 170.15img/s]
CommunityForensics: 16338img [16:21, 170.64img/s]
CommunityForensics: 16356img [16:21, 167.52img/s]
CommunityForensics: 16374img [16:21, 169.13img/s]
CommunityForensics: 16391img [16:21, 151.67img/s]
CommunityForensics: 16407img [16:21, 152.11img/s]
CommunityForensics: 16423img [16:21, 151.61img/s]
CommunityForensics: 16439img [16:22, 150.08img/s]
CommunityForensics: 16458img [16:22, 160.95img/s]
CommunityForensics: 16475img [16:22, 155.88img/s]
CommunityForensics: 16492img [16:22, 157.61img/s]
CommunityForensics: 16513img [16:22, 171.86img/s]
CommunityForensics: 16531img [16:22, 163.01img/s]
CommunityForensics: 16548img [16:22, 156.30img/s]
CommunityForensics: 16566img [16:22, 161.67img/s]
CommunityForensics: 16583img [16:22, 161.35img/s]
CommunityForensics: 16600img [16:22, 161.13img/s]
CommunityForensics: 16617img [16:23, 157.40img/s]
CommunityForensics: 16633img [16:23, 147.40img/s]
CommunityForensics: 16648img [16:23, 143.09img/s]
CommunityForensics: 16666img [16:23, 152.43img/s]
CommunityForensics: 16682img [16:23, 145.84img/s]
CommunityForensics: 16697img [16:23, 144.84img/s]
CommunityForensics: 16713img [16:23, 146.95img/s]
CommunityForensics: 16728img [16:23, 144.10img/s]
CommunityForensics: 16749img [16:23, 161.52img/s]
CommunityForensics: 16766img [16:24, 159.65img/s]
CommunityForensics: 16783img [16:24, 136.09img/s]
CommunityForensics: 16798img [16:24, 134.50img/s]
CommunityForensics: 16815img [16:24, 143.41img/s]
CommunityForensics: 16835img [16:24, 154.89img/s]
CommunityForensics: 16851img [16:24, 138.47img/s]
CommunityForensics: 16866img [16:24, 125.84img/s]
CommunityForensics: 16884img [16:24, 138.93img/s]
CommunityForensics: 16902img [16:25, 148.17img/s]
CommunityForensics: 16920img [16:25, 156.42img/s]
CommunityForensics: 16937img [16:25, 150.28img/s]
CommunityForensics: 16956img [16:25, 158.94img/s]
CommunityForensics: 16973img [16:25, 142.11img/s]
CommunityForensics: 16992img [16:25, 153.97img/s]
CommunityForensics: 17008img [16:25, 155.44img/s]
CommunityForensics: 17032img [16:25, 176.97img/s]
CommunityForensics: 17051img [16:26, 165.55img/s]
CommunityForensics: 17068img [16:26, 162.86img/s]
CommunityForensics: 17085img [16:26, 158.69img/s]
CommunityForensics: 17102img [16:26, 156.79img/s]
CommunityForensics: 17118img [16:26, 151.09img/s]
CommunityForensics: 17139img [16:26, 166.46img/s]
CommunityForensics: 17157img [16:26, 166.30img/s]
CommunityForensics: 17174img [16:26, 165.69img/s]
CommunityForensics: 17191img [16:26, 165.28img/s]
CommunityForensics: 17209img [16:26, 169.00img/s]
CommunityForensics: 17226img [16:27, 168.51img/s]
CommunityForensics: 17246img [16:27, 175.89img/s]
CommunityForensics: 17264img [16:27, 176.44img/s]
CommunityForensics: 17282img [16:27, 164.79img/s]
CommunityForensics: 17299img [16:27, 150.03img/s]
CommunityForensics: 17318img [16:27, 159.73img/s]
CommunityForensics: 17335img [16:27, 142.66img/s]
CommunityForensics: 17350img [16:27, 142.69img/s]
CommunityForensics: 17365img [16:28, 142.75img/s]
CommunityForensics: 17385img [16:28, 156.62img/s]
CommunityForensics: 17401img [16:28, 155.91img/s]
CommunityForensics: 17418img [16:28, 157.85img/s]
CommunityForensics: 17434img [16:28, 141.15img/s]
CommunityForensics: 17456img [16:28, 161.80img/s]
CommunityForensics: 17474img [16:28, 165.07img/s]
CommunityForensics: 17491img [16:28, 150.84img/s]
CommunityForensics: 17507img [16:28, 147.04img/s]
CommunityForensics: 17523img [16:29, 139.82img/s]
CommunityForensics: 17538img [16:29, 131.03img/s]
CommunityForensics: 17555img [16:29, 140.34img/s]
CommunityForensics: 17570img [16:29, 135.73img/s]
CommunityForensics: 17588img [16:29, 145.53img/s]
CommunityForensics: 17603img [16:29, 137.09img/s]
CommunityForensics: 17618img [16:29, 139.76img/s]
CommunityForensics: 17635img [16:29, 147.91img/s]
CommunityForensics: 17652img [16:29, 152.25img/s]
CommunityForensics: 17668img [16:30, 134.38img/s]
CommunityForensics: 17685img [16:30, 138.25img/s]
CommunityForensics: 17702img [16:30, 146.30img/s]
CommunityForensics: 17717img [16:30, 136.83img/s]
CommunityForensics: 17734img [16:30, 144.89img/s]
CommunityForensics: 17749img [16:30, 140.70img/s]
CommunityForensics: 17764img [16:30, 127.12img/s]
CommunityForensics: 17778img [16:30, 124.58img/s]
CommunityForensics: 17792img [16:31, 128.55img/s]
CommunityForensics: 17806img [16:31, 130.69img/s]
CommunityForensics: 17825img [16:31, 141.69img/s]
CommunityForensics: 17840img [16:31, 131.44img/s]
CommunityForensics: 17854img [16:31, 128.19img/s]
CommunityForensics: 17875img [16:31, 149.79img/s]
CommunityForensics: 17899img [16:31, 169.91img/s]
CommunityForensics: 17917img [16:31, 163.90img/s]
CommunityForensics: 17935img [16:31, 167.93img/s]
CommunityForensics: 17952img [16:32, 136.32img/s]
CommunityForensics: 17955img [16:47, 136.32img/s]
CommunityForensics: 17956img [27:06, 13.77s/img] 
CommunityForensics: 17957img [27:07, 13.37s/img]
CommunityForensics: 17968img [27:07,  9.09s/img]
CommunityForensics: 17977img [27:08,  6.63s/img]
CommunityForensics: 17986img [27:08,  4.78s/img]
CommunityForensics: 17993img [27:08,  3.65s/img]
CommunityForensics: 18000img [27:08,  2.73s/img]
CommunityForensics: 18008img [27:08,  1.93s/img]
CommunityForensics: 18015img [27:09,  1.43s/img]
CommunityForensics: 18021img [27:09,  1.09s/img]
CommunityForensics: 18026img [27:09,  1.18img/s]
CommunityForensics: 18030img [27:09,  1.46img/s]
CommunityForensics: 18034img [27:10,  1.84img/s]
CommunityForensics: 18037img [27:10,  2.23img/s]
CommunityForensics: 18041img [27:10,  2.98img/s]
CommunityForensics: 18044img [27:10,  3.64img/s]
CommunityForensics: 18047img [27:10,  4.61img/s]
CommunityForensics: 18050img [27:10,  5.60img/s]
CommunityForensics: 18054img [27:10,  7.64img/s]
CommunityForensics: 18057img [27:11,  9.29img/s]
CommunityForensics: 18060img [27:11, 10.90img/s]
CommunityForensics: 18063img [27:11, 12.34img/s]
CommunityForensics: 18066img [27:11, 12.73img/s]
CommunityForensics: 18068img [27:11, 13.63img/s]
CommunityForensics: 18070img [27:11, 13.46img/s]
CommunityForensics: 18073img [27:12, 15.51img/s]
CommunityForensics: 18077img [27:12, 19.10img/s]
CommunityForensics: 18080img [27:12, 18.75img/s]
CommunityForensics: 18083img [27:12, 18.36img/s]
CommunityForensics: 18086img [27:12, 20.12img/s]
CommunityForensics: 18089img [27:12, 20.79img/s]
CommunityForensics: 18092img [27:12, 22.46img/s]
CommunityForensics: 18095img [27:12, 23.59img/s]
CommunityForensics: 18098img [27:13, 19.44img/s]
CommunityForensics: 18101img [27:13, 16.56img/s]
CommunityForensics: 18103img [27:13, 15.39img/s]
CommunityForensics: 18105img [27:13, 15.20img/s]
CommunityForensics: 18107img [27:13, 15.95img/s]
CommunityForensics: 18109img [27:13, 15.28img/s]
CommunityForensics: 18112img [27:14, 15.73img/s]
CommunityForensics: 18114img [27:14, 16.52img/s]
CommunityForensics: 18116img [27:14, 16.98img/s]
CommunityForensics: 18118img [27:14, 15.98img/s]
CommunityForensics: 18120img [27:14, 15.11img/s]
CommunityForensics: 18122img [27:14, 14.32img/s]
CommunityForensics: 18125img [27:14, 17.51img/s]
CommunityForensics: 18127img [27:15, 17.28img/s]
CommunityForensics: 18129img [27:15, 16.61img/s]
CommunityForensics: 18132img [27:15, 18.58img/s]
CommunityForensics: 18134img [27:15, 15.14img/s]
CommunityForensics: 18137img [27:15, 15.70img/s]
CommunityForensics: 18139img [27:15, 15.27img/s]
CommunityForensics: 18141img [27:15, 14.55img/s]
CommunityForensics: 18143img [27:16, 14.11img/s]
CommunityForensics: 18145img [27:16, 15.29img/s]
CommunityForensics: 18147img [27:16, 14.71img/s]
CommunityForensics: 18149img [27:16, 15.22img/s]
CommunityForensics: 18151img [27:16, 14.88img/s]
CommunityForensics: 18153img [27:16, 15.30img/s]
CommunityForensics: 18155img [27:16, 15.68img/s]
CommunityForensics: 18157img [27:17, 14.47img/s]
CommunityForensics: 18159img [27:17, 14.44img/s]
CommunityForensics: 18162img [27:17, 16.55img/s]
CommunityForensics: 18164img [27:17, 16.43img/s]
CommunityForensics: 18166img [27:17, 16.51img/s]
CommunityForensics: 18168img [27:17, 14.40img/s]
CommunityForensics: 18170img [27:17, 14.71img/s]
CommunityForensics: 18172img [27:18, 15.69img/s]
CommunityForensics: 18174img [27:18, 16.44img/s]
CommunityForensics: 18176img [27:18, 16.48img/s]
CommunityForensics: 18179img [27:18, 16.94img/s]
CommunityForensics: 18182img [27:18, 19.43img/s]
CommunityForensics: 18184img [27:18, 17.52img/s]
CommunityForensics: 18186img [27:18, 14.60img/s]
CommunityForensics: 18188img [27:19, 14.49img/s]
CommunityForensics: 18190img [27:19, 15.47img/s]
CommunityForensics: 18192img [27:19, 14.90img/s]
CommunityForensics: 18194img [27:19, 12.84img/s]
CommunityForensics: 18196img [27:19, 12.92img/s]
CommunityForensics: 18198img [27:19, 14.38img/s]
CommunityForensics: 18202img [27:19, 18.23img/s]
CommunityForensics: 18204img [27:19, 17.92img/s]
CommunityForensics: 18207img [27:20, 17.38img/s]
CommunityForensics: 18209img [27:20, 17.75img/s]
CommunityForensics: 18211img [27:20, 17.94img/s]
CommunityForensics: 18213img [27:20, 15.07img/s]
CommunityForensics: 18216img [27:20, 16.30img/s]
CommunityForensics: 18218img [27:20, 16.40img/s]
CommunityForensics: 18220img [27:21, 14.79img/s]
CommunityForensics: 18222img [27:21, 14.17img/s]
CommunityForensics: 18225img [27:21, 14.35img/s]
CommunityForensics: 18228img [27:21, 15.61img/s]
CommunityForensics: 18231img [27:21, 16.22img/s]
CommunityForensics: 18235img [27:21, 19.73img/s]
CommunityForensics: 18238img [27:22, 17.28img/s]
CommunityForensics: 18240img [27:22, 16.52img/s]
CommunityForensics: 18244img [27:22, 19.25img/s]
CommunityForensics: 18246img [27:22, 18.73img/s]
CommunityForensics: 18248img [27:22, 18.52img/s]
CommunityForensics: 18250img [27:22, 16.00img/s]
CommunityForensics: 18252img [27:22, 16.74img/s]
CommunityForensics: 18255img [27:22, 19.69img/s]
CommunityForensics: 18258img [27:23, 20.10img/s]
CommunityForensics: 18261img [27:23, 18.66img/s]
CommunityForensics: 18263img [27:23, 15.67img/s]
CommunityForensics: 18265img [27:23, 15.53img/s]
CommunityForensics: 18267img [27:23, 14.84img/s]
CommunityForensics: 18269img [27:23, 15.45img/s]
CommunityForensics: 18271img [27:24, 12.96img/s]
CommunityForensics: 18273img [27:24, 12.54img/s]
CommunityForensics: 18275img [27:24, 12.50img/s]
CommunityForensics: 18277img [27:24, 13.96img/s]
CommunityForensics: 18279img [27:24, 13.01img/s]
CommunityForensics: 18281img [27:24, 14.12img/s]
CommunityForensics: 18284img [27:24, 15.89img/s]
CommunityForensics: 18287img [27:25, 17.63img/s]
CommunityForensics: 18289img [27:25, 16.63img/s]
CommunityForensics: 18291img [27:25, 16.64img/s]
CommunityForensics: 18293img [27:25, 17.37img/s]
CommunityForensics: 18296img [27:25, 19.85img/s]
CommunityForensics: 18299img [27:25, 17.22img/s]
CommunityForensics: 18301img [27:26, 15.26img/s]
CommunityForensics: 18303img [27:26, 15.17img/s]
CommunityForensics: 18306img [27:26, 17.29img/s]
CommunityForensics: 18308img [27:26, 16.72img/s]
CommunityForensics: 18310img [27:26, 16.68img/s]
CommunityForensics: 18312img [27:26, 16.11img/s]
CommunityForensics: 18314img [27:26, 15.37img/s]
CommunityForensics: 18316img [27:26, 14.78img/s]
CommunityForensics: 18318img [27:27, 14.38img/s]
CommunityForensics: 18320img [27:27, 15.32img/s]
CommunityForensics: 18322img [27:27, 16.09img/s]
CommunityForensics: 18324img [27:27, 15.89img/s]
CommunityForensics: 18326img [27:27, 15.76img/s]
CommunityForensics: 18336img [27:27, 36.30img/s]
CommunityForensics: 18348img [27:27, 57.41img/s]
CommunityForensics: 18358img [27:27, 67.36img/s]
CommunityForensics: 18370img [27:28, 79.48img/s]
CommunityForensics: 18381img [27:28, 85.79img/s]
CommunityForensics: 18394img [27:28, 96.58img/s]
CommunityForensics: 18406img [27:28, 102.74img/s]
CommunityForensics: 18419img [27:28, 110.52img/s]
CommunityForensics: 18431img [27:28, 112.24img/s]
CommunityForensics: 18443img [27:28, 110.67img/s]
CommunityForensics: 18455img [27:28, 111.12img/s]
CommunityForensics: 18467img [27:28, 111.38img/s]
CommunityForensics: 18479img [27:28, 110.57img/s]
CommunityForensics: 18491img [27:29, 104.72img/s]
CommunityForensics: 18504img [27:29, 108.43img/s]
CommunityForensics: 18517img [27:29, 112.84img/s]
CommunityForensics: 18529img [27:29, 114.08img/s]
CommunityForensics: 18543img [27:29, 119.88img/s]
CommunityForensics: 18556img [27:29, 121.37img/s]
CommunityForensics: 18569img [27:29, 118.79img/s]
CommunityForensics: 18581img [27:29, 114.00img/s]
CommunityForensics: 18595img [27:29, 119.66img/s]
CommunityForensics: 18608img [27:30, 111.95img/s]
CommunityForensics: 18621img [27:30, 115.95img/s]
CommunityForensics: 18633img [27:30, 102.00img/s]
CommunityForensics: 18644img [27:30, 95.98img/s] 
CommunityForensics: 18654img [27:30, 88.65img/s]
CommunityForensics: 18664img [27:30, 74.37img/s]
CommunityForensics: 18672img [27:30, 73.73img/s]
CommunityForensics: 18680img [27:31, 72.90img/s]
CommunityForensics: 18688img [27:31, 71.69img/s]
CommunityForensics: 18698img [27:31, 76.40img/s]
CommunityForensics: 18706img [27:31, 72.03img/s]
CommunityForensics: 18714img [27:31, 73.00img/s]
CommunityForensics: 18722img [27:31, 73.81img/s]
CommunityForensics: 18731img [27:31, 76.45img/s]
CommunityForensics: 18740img [27:31, 78.33img/s]
CommunityForensics: 18750img [27:31, 83.54img/s]
CommunityForensics: 18760img [27:32, 88.05img/s]
CommunityForensics: 18771img [27:32, 91.92img/s]
CommunityForensics: 18781img [27:32, 90.42img/s]
CommunityForensics: 18791img [27:32, 92.95img/s]
CommunityForensics: 18803img [27:32, 97.89img/s]
CommunityForensics: 18814img [27:32, 100.70img/s]
CommunityForensics: 18826img [27:32, 101.16img/s]
CommunityForensics: 18837img [27:32, 100.44img/s]
CommunityForensics: 18849img [27:32, 104.97img/s]
CommunityForensics: 18860img [27:32, 105.49img/s]
CommunityForensics: 18872img [27:33, 106.97img/s]
CommunityForensics: 18883img [27:33, 105.39img/s]
CommunityForensics: 18895img [27:33, 106.49img/s]
